# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	1	709	-							E2P69_RS14870	709		partial;old_locus_tag=E2P69_14890
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	1	709	-	WP_145481306.1	WP_145481306.1		AAA family ATPase			E2P69_RS14870	709	236	partial
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	912	4964	-					recB		E2P69_RS14875	4053		old_locus_tag=E2P69_14895
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	912	4964	-	WP_046932682.1	WP_046932682.1		exodeoxyribonuclease V subunit beta	recB		E2P69_RS14875	4053	1350	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	4961	8374	-					recC		E2P69_RS14880	3414		old_locus_tag=E2P69_14900
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	4961	8374	-	WP_008575260.1	WP_008575260.1		exodeoxyribonuclease V subunit gamma	recC		E2P69_RS14880	3414	1137	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	8729	13537	-							E2P69_RS14885	4809		old_locus_tag=E2P69_14905
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	8729	13537	-	WP_046935166.1	WP_046935166.1		autotransporter domain-containing protein			E2P69_RS14885	4809	1602	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	13804	14349	+							E2P69_RS14890	546		old_locus_tag=E2P69_14910
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	13804	14349	+	WP_011349183.1	WP_011349183.1		phage tail protein			E2P69_RS14890	546	181	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	14416	14943	+							E2P69_RS14895	528		old_locus_tag=E2P69_14915
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	14416	14943	+	WP_008575266.1	WP_008575266.1		phage tail protein			E2P69_RS14895	528	175	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	15004	15540	+							E2P69_RS14900	537		old_locus_tag=E2P69_14920
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	15004	15540	+	WP_008575267.1	WP_008575267.1		phage tail protein			E2P69_RS14900	537	178	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	15545	16102	+							E2P69_RS14905	558		old_locus_tag=E2P69_14925
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	15545	16102	+	WP_008575269.1	WP_008575269.1		GNAT family N-acetyltransferase			E2P69_RS14905	558	185	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	16121	16408	-							E2P69_RS14910	288		old_locus_tag=E2P69_14930
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	16121	16408	-	WP_008575271.1	WP_008575271.1		hypothetical protein			E2P69_RS14910	288	95	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	16791	17585	+							E2P69_RS14915	795		old_locus_tag=E2P69_14935
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	16791	17585	+	WP_011349187.1	WP_011349187.1		ATP-binding cassette domain-containing protein			E2P69_RS14915	795	264	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	17585	18334	+							E2P69_RS14920	750		old_locus_tag=E2P69_14940
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	17585	18334	+	WP_011349188.1	WP_011349188.1		ABC transporter permease			E2P69_RS14920	750	249	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	18346	18891	+					mlaD		E2P69_RS14925	546		old_locus_tag=E2P69_14945
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	18346	18891	+	WP_008575276.1	WP_008575276.1		outer membrane lipid asymmetry maintenance protein MlaD	mlaD		E2P69_RS14925	546	181	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	18888	19550	+							E2P69_RS14930	663		old_locus_tag=E2P69_14950
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	18888	19550	+	WP_008575277.1	WP_008575277.1		ABC transporter substrate-binding protein			E2P69_RS14930	663	220	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	19540	19830	+							E2P69_RS14935	291		old_locus_tag=E2P69_14955
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	19540	19830	+	WP_008575279.1	WP_008575279.1		STAS domain-containing protein			E2P69_RS14935	291	96	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	19841	20896	+							E2P69_RS14940	1056		old_locus_tag=E2P69_14960
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	19841	20896	+	WP_046932685.1	WP_046932685.1		VacJ family lipoprotein			E2P69_RS14940	1056	351	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	21036	21515	-							E2P69_RS14945	480		old_locus_tag=E2P69_14965
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	21036	21515	-	WP_008573078.1	WP_008573078.1		nuclear transport factor 2 family protein			E2P69_RS14945	480	159	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	21574	22125	-							E2P69_RS14950	552		old_locus_tag=E2P69_14970
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	21574	22125	-	WP_033478691.1	WP_033478691.1		glutathione peroxidase			E2P69_RS14950	552	183	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	22279	22680	-							E2P69_RS14955	402		old_locus_tag=E2P69_14975
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	22279	22680	-	WP_109290613.1	WP_109290613.1		hypothetical protein			E2P69_RS14955	402	133	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	22872	24404	-					rmuC		E2P69_RS14960	1533		old_locus_tag=E2P69_14980
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	22872	24404	-	WP_186379773.1	WP_186379773.1		DNA recombination protein RmuC	rmuC		E2P69_RS14960	1533	510	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	24589	25596	-							E2P69_RS14965	1008		old_locus_tag=E2P69_14985
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	24589	25596	-	WP_008573087.1	WP_008573087.1		zinc-binding alcohol dehydrogenase family protein			E2P69_RS14965	1008	335	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	25692	26624	+							E2P69_RS14970	933		old_locus_tag=E2P69_14990
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	25692	26624	+	WP_008573089.1	WP_008573089.1		LysR family transcriptional regulator			E2P69_RS14970	933	310	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	26961	27191	+							E2P69_RS14975	231		old_locus_tag=E2P69_14995
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	26961	27191	+	WP_008573091.1	WP_008573091.1		hypothetical protein			E2P69_RS14975	231	76	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	27251	27973	+							E2P69_RS14985	723		old_locus_tag=E2P69_15005
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	27251	27973	+	WP_171309833.1	WP_171309833.1		glutathione S-transferase N-terminal domain-containing protein			E2P69_RS14985	723	240	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	28093	28473	+							E2P69_RS14990	381		old_locus_tag=E2P69_15010
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	28093	28473	+	WP_008573095.1	WP_008573095.1		hypothetical protein			E2P69_RS14990	381	126	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	28689	30104	+							E2P69_RS14995	1416		old_locus_tag=E2P69_15015
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	28689	30104	+	WP_008573097.1	WP_008573097.1		amino acid permease			E2P69_RS14995	1416	471	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	30354	32828	-							E2P69_RS15000	2475		old_locus_tag=E2P69_15020
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	30354	32828	-	WP_033478695.1	WP_033478695.1		glycoside hydrolase family 92 protein			E2P69_RS15000	2475	824	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	33059	35992	-							E2P69_RS15005	2934		old_locus_tag=E2P69_15025
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	33059	35992	-	WP_008573101.1	WP_008573101.1		TonB-dependent receptor			E2P69_RS15005	2934	977	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	36658	37047	-							E2P69_RS15010	390		old_locus_tag=E2P69_15030
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	36658	37047	-	WP_008573104.1	WP_008573104.1		DUF2628 domain-containing protein			E2P69_RS15010	390	129	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	37156	38904	-							E2P69_RS15015	1749		old_locus_tag=E2P69_15035
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	37156	38904	-	WP_033478697.1	WP_033478697.1		diguanylate cyclase			E2P69_RS15015	1749	582	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	39017	40207	-							E2P69_RS15020	1191		old_locus_tag=E2P69_15040
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	39017	40207	-	WP_008573108.1	WP_008573108.1		helix-turn-helix domain-containing protein			E2P69_RS15020	1191	396	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	40442	41611	-							E2P69_RS15025	1170		old_locus_tag=E2P69_15045
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	40442	41611	-	WP_008573111.1	WP_008573111.1		glycerate kinase			E2P69_RS15025	1170	389	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	41637	42947	-							E2P69_RS15030	1311		old_locus_tag=E2P69_15050
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	41637	42947	-	WP_127172320.1	WP_127172320.1		MFS transporter			E2P69_RS15030	1311	436	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	43415	44668	-							E2P69_RS15035	1254		old_locus_tag=E2P69_15055
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	43415	44668	-	WP_008573114.1	WP_008573114.1		dipeptidase			E2P69_RS15035	1254	417	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	44949	45269	-							E2P69_RS15040	321		old_locus_tag=E2P69_15060
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000014.1	44949	45269	-	WP_003482258.1	WP_003482258.1		hypothetical protein			E2P69_RS15040	321	106	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	68	1234	-							E2P69_RS00005	1167		old_locus_tag=E2P69_00005
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	68	1234	-	WP_008573115.1	WP_008573115.1		class I SAM-dependent rRNA methyltransferase			E2P69_RS00005	1167	388	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	1499	2455	+							E2P69_RS00015	957		old_locus_tag=E2P69_00015
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	1499	2455	+	WP_008573117.1	WP_008573117.1		TerC family protein			E2P69_RS00015	957	318	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	3106	3894	+							E2P69_RS00030	789		old_locus_tag=E2P69_00030
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	3106	3894	+	WP_033478680.1	WP_033478680.1		rhomboid family intramembrane serine protease			E2P69_RS00030	789	262	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	4046	5143	-							E2P69_RS00035	1098		old_locus_tag=E2P69_00035
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	4046	5143	-	WP_008573008.1	WP_008573008.1		glycerophosphodiester phosphodiesterase			E2P69_RS00035	1098	365	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	5383	7683	-							E2P69_RS00040	2301		old_locus_tag=E2P69_00040
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	5383	7683	-	WP_008573007.1	WP_008573007.1		TonB-dependent receptor			E2P69_RS00040	2301	766	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	7876	8733	+							E2P69_RS00045	858		old_locus_tag=E2P69_00045
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	7876	8733	+	WP_008573006.1	WP_008573006.1		phosphatase PAP2 family protein			E2P69_RS00045	858	285	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	8897	10237	-					mnmE		E2P69_RS00050	1341		old_locus_tag=E2P69_00050
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	8897	10237	-	WP_008573005.1	WP_008573005.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		E2P69_RS00050	1341	446	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	10394	13096	-							E2P69_RS00055	2703		old_locus_tag=E2P69_00055
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	10394	13096	-	WP_033478679.1	WP_033478679.1		polysaccharide deacetylase family protein			E2P69_RS00055	2703	900	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	13182	14906	-					yidC		E2P69_RS00060	1725		old_locus_tag=E2P69_00060
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	13182	14906	-	WP_008573001.1	WP_008573001.1		membrane protein insertase YidC	yidC		E2P69_RS00060	1725	574	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	14932	15369	-							E2P69_RS00065	438		old_locus_tag=E2P69_00065
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	14932	15369	-	WP_007968218.1	WP_007968218.1		ribonuclease P protein component			E2P69_RS00065	438	145	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	15408	15548	-					rpmH		E2P69_RS00070	141		old_locus_tag=E2P69_00070
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	15408	15548	-	WP_002805908.1	WP_002805908.1		50S ribosomal protein L34	rpmH		E2P69_RS00070	141	46	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	15791	17119	+					dnaA		E2P69_RS00080	1329		old_locus_tag=E2P69_00080
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	15791	17119	+	WP_008572980.1	WP_008572980.1		chromosomal replication initiator protein DnaA	dnaA		E2P69_RS00080	1329	442	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	17396	18496	+					dnaN		E2P69_RS00085	1101		old_locus_tag=E2P69_00085
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	17396	18496	+	WP_005912436.1	WP_005912436.1		DNA polymerase III subunit beta	dnaN		E2P69_RS00085	1101	366	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	19553	20659	+					recF		E2P69_RS00090	1107		old_locus_tag=E2P69_00090
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	19553	20659	+	WP_033478678.1	WP_033478678.1		DNA replication/repair protein RecF	recF		E2P69_RS00090	1107	368	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	20774	23218	+					gyrB		E2P69_RS00095	2445		old_locus_tag=E2P69_00095
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	20774	23218	+	WP_008572975.1	WP_008572975.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		E2P69_RS00095	2445	814	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	23287	24123	+							E2P69_RS00100	837		old_locus_tag=E2P69_00100
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	23287	24123	+	WP_031420453.1	WP_031420453.1		CPBP family intramembrane metalloprotease			E2P69_RS00100	837	278	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	24307	25113	+							E2P69_RS00105	807		old_locus_tag=E2P69_00105
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	24307	25113	+	WP_031420454.1	WP_031420454.1		M48 family metallopeptidase			E2P69_RS00105	807	268	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	25391	26584	+							E2P69_RS00110	1194		old_locus_tag=E2P69_00110
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	25391	26584	+	WP_008572970.1	WP_008572970.1		tetratricopeptide repeat protein			E2P69_RS00110	1194	397	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	26852	27409	+							E2P69_RS00115	558		old_locus_tag=E2P69_00115
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	26852	27409	+	WP_003482203.1	WP_003482203.1		energy transducer TonB			E2P69_RS00115	558	185	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	27495	28256	+					exbB		E2P69_RS00120	762		old_locus_tag=E2P69_00120
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	27495	28256	+	WP_005912445.1	WP_005912445.1		TonB-system energizer ExbB	exbB		E2P69_RS00120	762	253	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	28303	28725	+							E2P69_RS00125	423		old_locus_tag=E2P69_00125
